# file number : 0
#                  x                   y                   z                 chi                 phi
                 0.1                 0.1                 0.1         0.409941748                   0
                0.42                0.42                0.42         0.562453102                   0
                0.74                0.74                0.74         0.591477819                   0
                1.06                1.06                1.06         0.627433193                   0
                1.38                1.38                1.38         0.664391656                   0
                 1.7                 1.7                 1.7         0.698914162                   0
                2.02                2.02                2.02         0.729562653                   0
                2.34                2.34                2.34         0.756077176                   0
                2.66                2.66                2.66         0.778759167                   0
                2.98                2.98                2.98         0.798110568                   0
                 3.3                 3.3                 3.3         0.814657062                   0
                3.62                3.62                3.62          0.82887613                   0
                3.94                3.94                3.94         0.766469947         0.406103847
                4.26                4.26                4.26         0.851884088                   0
                4.58                4.58                4.58         0.861277409                   0
                 4.9                 4.9                 4.9         0.869574072                   0
                5.22                5.22                5.22         0.876949159                   0
                5.54                5.54                5.54         0.883543697                   0
                5.86                5.86                5.86         0.889474534                   0
                6.18                6.18                6.18         0.894835445                   0
                 6.5                 6.5                 6.5         0.899704082                   0
                6.82                6.82                6.82         0.904145229                   0
                7.14                7.14                7.14         0.908212272                   0
                7.46                7.46                7.46         0.915779984       -0.0829187777
                7.78                7.78                7.78         0.897040439         0.114101255
                 8.1                 8.1                 8.1         0.918587027                   0
                8.42                8.42                8.42         0.921547599                   0
                8.74                8.74                8.74         0.924300847                   0
                9.06                9.06                9.06         0.926868925                   0
                9.38                9.38                9.38         0.929270486                   0
                 9.7                 9.7                 9.7         0.931520898                   0
               10.02               10.02               10.02         0.933634158                   0
               10.34               10.34               10.34         0.935622351                   0
               10.66               10.66               10.66         0.937495718                   0
               10.98               10.98               10.98          0.93926399                   0
                11.3                11.3                11.3         0.940936138                   0
               11.62               11.62               11.62         0.942519521                   0
               11.94               11.94               11.94         0.944020906                   0
               12.26               12.26               12.26         0.945446811                   0
               12.58               12.58               12.58         0.946802655                   0
                12.9                12.9                12.9         0.948093305                   0
               13.22               13.22               13.22         0.949323607                   0
               13.54               13.54               13.54         0.950497639                   0
               13.86               13.86               13.86         0.951618994                   0
               14.18               14.18               14.18         0.952691344                   0
                14.5                14.5                14.5         0.953717818                   0
               14.82               14.82               14.82         0.956713999       -0.0649153379
               15.14               15.14               15.14         0.965949405        -0.121247074
               15.46               15.46               15.46         0.960832839       -0.0301745996
               15.78               15.78               15.78         0.853877146         0.494921403
                16.1                16.1                16.1         0.958253456                   0
               16.42               16.42               16.42         0.959057578                   0
               16.74               16.74               16.74         0.959831843                   0
               17.06               17.06               17.06          0.96057773                   0
               17.38               17.38               17.38         0.961296422                   0
                17.7                17.7                17.7         0.961989857                   0
               18.02               18.02               18.02         0.962659349                   0
               18.34               18.34               18.34         0.963306112                   0
               18.66               18.66               18.66         0.963931266                   0
               18.98               18.98               18.98         0.964535855                   0
                19.3                19.3                19.3         0.965120552                   0
               19.62               19.62               19.62          0.96568663                   0
               19.94               19.94               19.94         0.966234988                   0
               20.26               20.26               20.26         0.966766446                   0
               20.58               20.58               20.58         0.967281764                   0
                20.9                20.9                20.9         0.967781654                   0
               21.22               21.22               21.22         0.968266646                   0
               21.54               21.54               21.54         0.968737482                   0
               21.86               21.86               21.86          0.96919484                   0
               22.18               22.18               22.18         0.969639292                   0
                22.5                22.5                22.5         0.970071372                   0
               22.82               22.82               22.82         0.970491584                   0
               23.14               23.14               23.14         0.970900342                   0
               23.46               23.46               23.46         0.971298096                   0
               23.78               23.78               23.78         0.971685361                   0
                24.1                24.1                24.1         0.972062549                   0
               24.42               24.42               24.42         0.972430046                   0
               24.74               24.74               24.74         0.972788217                   0
               25.06               25.06               25.06         0.973137389                   0
               25.38               25.38               25.38         0.973477844                   0
                25.7                25.7                25.7         0.973809977                   0
               26.02               26.02               26.02         0.974134092                   0
               26.34               26.34               26.34         0.974450474                   0
               26.66               26.66               26.66         0.974759395                   0
               26.98               26.98               26.98         0.975061112                   0
                27.3                27.3                27.3         0.975355816                   0
               27.62               27.62               27.62         0.975643804                   0
               27.94               27.94               27.94         0.975925308                   0
               28.26               28.26               28.26         0.976200543                   0
               28.58               28.58               28.58         0.976469717                   0
                28.9                28.9                28.9         0.976733024                   0
               29.22               29.22               29.22         0.976990623                   0
               29.54               29.54               29.54         0.977242716                   0
               29.86               29.86               29.86         0.977489491                   0
               30.18               30.18               30.18         0.977731114                   0
                30.5                30.5                30.5         0.977967746                   0
               30.82               30.82               30.82         0.978199537                   0
               31.14               31.14               31.14         0.978426619                   0
               31.46               31.46               31.46         0.978649132                   0
               31.78               31.78               31.78          0.97886723                   0
