# file number : 2
#                  x                   y                   z                 phi
                 0.1                 0.1                 0.1        0.0571284048
                0.42                0.42                0.42        0.0524971161
                0.74                0.74                0.74        0.0432308689
                1.06                1.06                1.06        0.0323506471
                1.38                1.38                1.38        0.0228104436
                 1.7                 1.7                 1.7        0.0156419082
                2.02                2.02                2.02        0.0106865804
                2.34                2.34                2.34       0.00737422509
                2.66                2.66                2.66       0.00514995646
                2.98                2.98                2.98       0.00361267337
                 3.3                 3.3                 3.3       0.00252296439
                3.62                3.62                3.62       0.00174850063
                3.94                3.94                3.94       0.00120798135
                4.26                4.26                4.26      0.000840212958
                4.58                4.58                4.58      0.000587821477
                 4.9                 4.9                 4.9      0.000411037632
                5.22                5.22                5.22      0.000282875929
                5.54                5.54                5.54      0.000189258666
                5.86                5.86                5.86      0.000123190132
                6.18                6.18                6.18      7.96915774e-05
                 6.5                 6.5                 6.5      5.26600088e-05
                6.82                6.82                6.82      3.51777454e-05
                7.14                7.14                7.14      2.12312024e-05
                7.46                7.46                7.46      7.33398028e-06
                7.78                7.78                7.78     -6.28507005e-06
                 8.1                 8.1                 8.1     -1.73876935e-05
                8.42                8.42                8.42     -2.44433073e-05
                8.74                8.74                8.74     -2.72587304e-05
                9.06                9.06                9.06     -2.74780525e-05
                9.38                9.38                9.38      -2.6942078e-05
                 9.7                 9.7                 9.7     -2.69568286e-05
               10.02               10.02               10.02     -2.72999687e-05
               10.34               10.34               10.34     -2.69388052e-05
               10.66               10.66               10.66     -2.49065713e-05
               10.98               10.98               10.98     -2.07860277e-05
                11.3                11.3                11.3     -1.52291394e-05
               11.62               11.62               11.62     -9.64265354e-06
               11.94               11.94               11.94     -5.59421636e-06
               12.26               12.26               12.26     -3.56159347e-06
               12.58               12.58               12.58       -3.114743e-06
                12.9                12.9                12.9     -3.10395201e-06
               13.22               13.22               13.22      -2.4143354e-06
               13.54               13.54               13.54     -7.71643825e-07
               13.86               13.86               13.86      1.35682223e-06
               14.18               14.18               14.18      3.11692475e-06
                14.5                14.5                14.5      3.81880553e-06
               14.82               14.82               14.82      3.01562618e-06
               15.14               15.14               15.14      1.38606844e-06
               15.46               15.46               15.46     -3.48594867e-07
               15.78               15.78               15.78       -1.527636e-06
                16.1                16.1                16.1     -1.69275355e-06
               16.42               16.42               16.42     -1.51503999e-06
               16.74               16.74               16.74     -8.57059298e-07
               17.06               17.06               17.06      4.02008161e-08
               17.38               17.38               17.38      8.44387915e-07
                17.7                17.7                17.7      1.44845938e-06
               18.02               18.02               18.02      1.81210274e-06
               18.34               18.34               18.34      1.94608841e-06
               18.66               18.66               18.66      1.89311443e-06
               18.98               18.98               18.98      1.70822916e-06
                19.3                19.3                19.3      1.45147956e-06
               19.62               19.62               19.62      1.14020381e-06
               19.94               19.94               19.94      7.93317762e-07
               20.26               20.26               20.26      4.30024905e-07
               20.58               20.58               20.58       7.1757529e-08
                20.9                20.9                20.9     -2.56934496e-07
               21.22               21.22               21.22     -5.24153832e-07
               21.54               21.54               21.54     -6.98077697e-07
               21.86               21.86               21.86     -7.65908126e-07
               22.18               22.18               22.18     -7.27622613e-07
                22.5                22.5                22.5     -5.96694766e-07
               22.82               22.82               22.82      -3.9864914e-07
               23.14               23.14               23.14     -1.67639302e-07
               23.46               23.46               23.46      4.69856952e-08
               23.78               23.78               23.78      2.09583155e-07
                24.1                24.1                24.1       3.0190339e-07
               24.42               24.42               24.42       3.1960322e-07
               24.74               24.74               24.74      2.71618358e-07
               25.06               25.06               25.06      1.77247435e-07
               25.38               25.38               25.38      6.88607024e-08
                25.7                25.7                25.7     -2.38192636e-08
               26.02               26.02               26.02     -8.59618153e-08
               26.34               26.34               26.34     -1.11699865e-07
               26.66               26.66               26.66     -1.03664275e-07
               26.98               26.98               26.98     -7.11570092e-08
                27.3                27.3                27.3     -3.09912694e-08
               27.62               27.62               27.62      3.18872726e-09
               27.94               27.94               27.94      2.52860103e-08
               28.26               28.26               28.26      3.34363819e-08
               28.58               28.58               28.58      2.94516509e-08
                28.9                28.9                28.9      1.76459147e-08
               29.22               29.22               29.22      5.15217965e-09
               29.54               29.54               29.54     -3.78167201e-09
               29.86               29.86               29.86     -8.39367321e-09
               30.18               30.18               30.18     -8.85873242e-09
                30.5                30.5                30.5     -6.36432066e-09
               30.82               30.82               30.82     -2.55805398e-09
               31.14               31.14               31.14       5.6506881e-10
               31.46               31.46               31.46      2.02333686e-09
               31.78               31.78               31.78      2.34436532e-09
