#       time                 chi                 phi               lapse
   0.0250000    6.0195863439e-01    1.4520341944e-03    5.8991445505e-01
   0.0500000    6.0195637053e-01    2.9036928241e-03    5.8991449521e-01
   0.0750000    6.0195295187e-01    4.3546227118e-03    5.8991463169e-01
   0.1000000    6.0194850989e-01    5.8044941952e-03    5.8991495003e-01
   0.1250000    6.0194318753e-01    7.2530000647e-03    5.8991556100e-01
   0.1500000    6.0193712906e-01    8.6998544858e-03    5.8991659788e-01
   0.1750000    6.0193047171e-01    1.0144791915e-02    5.8991821429e-01
   0.2000000    6.0192333968e-01    1.1587566021e-02    5.8992058235e-01
   0.2250000    6.0191584082e-01    1.3027948608e-02    5.8992389133e-01
   0.2500000    6.0190806588e-01    1.4465728569e-02    5.8992834650e-01
   0.2750000    6.0190008995e-01    1.5900710849e-02    5.8993416811e-01
   0.3000000    6.0189197535e-01    1.7332715446e-02    5.8994159047e-01
   0.3250000    6.0188377517e-01    1.8761576445e-02    5.8995086094e-01
   0.3500000    6.0187553697e-01    2.0187141076e-02    5.8996223884e-01
   0.3750000    6.0186730598e-01    2.1609268829e-02    5.8997599424e-01
   0.4000000    6.0185912749e-01    2.3027830588e-02    5.8999240664e-01
   0.4250000    6.0185104850e-01    2.4442707820e-02    5.9001176353e-01
   0.4500000    6.0184311858e-01    2.5853791792e-02    5.9003435897e-01
   0.4750000    6.0183539017e-01    2.7260982830e-02    5.9006049208e-01
   0.5000000    6.0182791846e-01    2.8664189624e-02    5.9009046567e-01
   0.5250000    6.0182076120e-01    3.0063328552e-02    5.9012458487e-01
   0.5500000    6.0181397833e-01    3.1458323057e-02    5.9016315597e-01
   0.5750000    6.0180763177e-01    3.2849103049e-02    5.9020648528e-01
   0.6000000    6.0180178522e-01    3.4235604343e-02    5.9025487827e-01
   0.6250000    6.0179650407e-01    3.5617768125e-02    5.9030863871e-01
   0.6500000    6.0179185543e-01    3.6995540453e-02    5.9036806806e-01
   0.6750000    6.0178790820e-01    3.8368871782e-02    5.9043346495e-01
   0.7000000    6.0178473322e-01    3.9737716520e-02    5.9050512473e-01
   0.7250000    6.0178240349e-01    4.1102032609e-02    5.9058333923e-01
   0.7500000    6.0178099442e-01    4.2461781127e-02    5.9066839651e-01
   0.7750000    6.0178058406e-01    4.3816925919e-02    5.9076058074e-01
   0.8000000    6.0178125334e-01    4.5167433241e-02    5.9086017221e-01
   0.8250000    6.0178308616e-01    4.6513271439e-02    5.9096744730e-01
   0.8500000    6.0178616949e-01    4.7854410631e-02    5.9108267856e-01
   0.8750000    6.0179059323e-01    4.9190822420e-02    5.9120613487e-01
   0.9000000    6.0179645003e-01    5.0522479615e-02    5.9133808162e-01
   0.9250000    6.0180383493e-01    5.1849355977e-02    5.9147878083e-01
   0.9500000    6.0181284492e-01    5.3171425976e-02    5.9162849143e-01
   0.9750000    6.0182357847e-01    5.4488664559e-02    5.9178746943e-01
   1.0000000    6.0183613495e-01    5.5801046939e-02    5.9195596809e-01
   1.0250000    6.0185061410e-01    5.7108548393e-02    5.9213423816e-01
   1.0500000    6.0186711558e-01    5.8411144071e-02    5.9232252799e-01
   1.0750000    6.0188573846e-01    5.9708808823e-02    5.9252108362e-01
   1.1000000    6.0190658090e-01    6.1001517028e-02    5.9273014894e-01
   1.1250000    6.0192973981e-01    6.2289242440e-02    5.9294996567e-01
   1.1500000    6.0195531065e-01    6.3571958044e-02    5.9318077342e-01
   1.1750000    6.0198338722e-01    6.4849635916e-02    5.9342280966e-01
