#       time                 chi                 phi               lapse
   0.0041667    6.8042674748e-01    1.9576015434e-04    6.7246230996e-01
   0.0083333    6.8042658182e-01    3.9151846369e-04    6.7246231427e-01
   0.0125000    6.8042633109e-01    5.8727308540e-04    6.7246231744e-01
   0.0166667    6.8042599969e-01    7.8302218116e-04    6.7246231908e-01
   0.0208333    6.8042559259e-01    9.7876391732e-04    6.7246231890e-01
   0.0250000    6.8042511510e-01    1.1744964651e-03    6.7246231668e-01
   0.0291667    6.8042457277e-01    1.3702180009e-03    6.7246231234e-01
   0.0333333    6.8042397124e-01    1.5659267061e-03    6.7246230586e-01
   0.0375000    6.8042331608e-01    1.7616207677e-03    6.7246229736e-01
   0.0416667    6.8042261275e-01    1.9572983777e-03    6.7246228700e-01
   0.0458333    6.8042186650e-01    2.1529577333e-03    6.7246227509e-01
   0.0500000    6.8042108234e-01    2.3485970370e-03    6.7246226195e-01
   0.0541667    6.8042026496e-01    2.5442144962e-03    6.7246224801e-01
   0.0583333    6.8041941877e-01    2.7398083232e-03    6.7246223375e-01
   0.0625000    6.8041854784e-01    2.9353767349e-03    6.7246221968e-01
   0.0666667    6.8041765595e-01    3.1309179527e-03    6.7246220637e-01
   0.0708333    6.8041674657e-01    3.3264302024e-03    6.7246219440e-01
   0.0750000    6.8041582285e-01    3.5219117138e-03    6.7246218436e-01
   0.0791667    6.8041488767e-01    3.7173607205e-03    6.7246217686e-01
   0.0833333    6.8041394363e-01    3.9127754598e-03    6.7246217250e-01
   0.0875000    6.8041299302e-01    4.1081541727e-03    6.7246217186e-01
   0.0916667    6.8041203788e-01    4.3034951033e-03    6.7246217552e-01
   0.0958333    6.8041107997e-01    4.4987964987e-03    6.7246218401e-01
   0.1000000    6.8041012078e-01    4.6940566094e-03    6.7246219785e-01
   0.1041667    6.8040916151e-01    4.8892736883e-03    6.7246221752e-01
   0.1083333    6.8040820313e-01    5.0844459912e-03    6.7246224346e-01
   0.1125000    6.8040724631e-01    5.2795717765e-03    6.7246227609e-01
   0.1166667    6.8040629149e-01    5.4746493051e-03    6.7246231577e-01
   0.1208333    6.8040533887e-01    5.6696768401e-03    6.7246236282e-01
   0.1250000    6.8040438845e-01    5.8646526473e-03    6.7246241754e-01
   0.1291667    6.8040344002e-01    6.0595749945e-03    6.7246248020e-01
   0.1333333    6.8040249322e-01    6.2544421519e-03    6.7246255102e-01
   0.1375000    6.8040154753e-01    6.4492523918e-03    6.7246263021e-01
   0.1416667    6.8040060238e-01    6.6440039888e-03    6.7246271795e-01
   0.1458333    6.8039965708e-01    6.8386952196e-03    6.7246281441e-01
   0.1500000    6.8039871096e-01    7.0333243632e-03    6.7246291973e-01
   0.1541667    6.8039776331e-01    7.2278897005e-03    6.7246303406e-01
   0.1583333    6.8039681347e-01    7.4223895149e-03    6.7246315754e-01
   0.1625000    6.8039586083e-01    7.6168220917e-03    6.7246329034e-01
   0.1666667    6.8039490485e-01    7.8111857186e-03    6.7246343260e-01
   0.1708333    6.8039394508e-01    8.0054786854e-03    6.7246358451e-01
   0.1750000    6.8039298116e-01    8.1996992839e-03    6.7246374625e-01
   0.1791667    6.8039201283e-01    8.3938458083e-03    6.7246391805e-01
   0.1833333    6.8039103990e-01    8.5879165551e-03    6.7246410015e-01
   0.1875000    6.8039006229e-01    8.7819098226e-03    6.7246429285e-01
   0.1916667    6.8038907996e-01    8.9758239117e-03    6.7246449645e-01
   0.1958333    6.8038809293e-01    9.1696571253e-03    6.7246471132e-01
   0.2000000    6.8038710127e-01    9.3634077685e-03    6.7246493785e-01
   0.2041667    6.8038610502e-01    9.5570741485e-03    6.7246517649e-01
   0.2083333    6.8038510424e-01    9.7506545750e-03    6.7246542772e-01
   0.2125000    6.8038409896e-01    9.9441473594e-03    6.7246569207e-01
   0.2166667    6.8038308915e-01    1.0137550816e-02    6.7246597011e-01
   0.2208333    6.8038207474e-01    1.0330863260e-02    6.7246626247e-01
   0.2250000    6.8038105557e-01    1.0524083010e-02    6.7246656981e-01
   0.2291667    6.8038003140e-01    1.0717208387e-02    6.7246689282e-01
   0.2333333    6.8037900192e-01    1.0910237714e-02    6.7246723224e-01
   0.2375000    6.8037796671e-01    1.1103169314e-02    6.7246758886e-01
   0.2416667    6.8037692527e-01    1.1296001515e-02    6.7246796348e-01
   0.2458333    6.8037587704e-01    1.1488732648e-02    6.7246835695e-01
   0.2500000    6.8037482133e-01    1.1681361042e-02    6.7246877013e-01
   0.2541667    6.8037375743e-01    1.1873885033e-02    6.7246920392e-01
   0.2583333    6.8037268455e-01    1.2066302958e-02    6.7246965925e-01
   0.2625000    6.8037160182e-01    1.2258613154e-02    6.7247013704e-01
   0.2666667    6.8037050838e-01    1.2450813964e-02    6.7247063824e-01
   0.2708333    6.8036940330e-01    1.2642903731e-02    6.7247116382e-01
   0.2750000    6.8036828564e-01    1.2834880803e-02    6.7247171474e-01
   0.2791667    6.8036715447e-01    1.3026743528e-02    6.7247229198e-01
   0.2833333    6.8036600884e-01    1.3218490259e-02    6.7247289652e-01
   0.2875000    6.8036484783e-01    1.3410119350e-02    6.7247352933e-01
   0.2916667    6.8036367053e-01    1.3601629160e-02    6.7247419138e-01
   0.2958333    6.8036247607e-01    1.3793018049e-02    6.7247488364e-01
   0.3000000    6.8036126363e-01    1.3984284381e-02    6.7247560706e-01
   0.3041667    6.8036003243e-01    1.4175426522e-02    6.7247636261e-01
   0.3083333    6.8035878175e-01    1.4366442842e-02    6.7247715121e-01
   0.3125000    6.8035751094e-01    1.4557331715e-02    6.7247797380e-01
   0.3166667    6.8035621940e-01    1.4748091515e-02    6.7247883130e-01
   0.3208333    6.8035490662e-01    1.4938720623e-02    6.7247972459e-01
   0.3250000    6.8035357215e-01    1.5129217420e-02    6.7248065458e-01
   0.3291667    6.8035221562e-01    1.5319580292e-02    6.7248162214e-01
   0.3333333    6.8035083672e-01    1.5509807629e-02    6.7248262813e-01
   0.3375000    6.8034943523e-01    1.5699897821e-02    6.7248367340e-01
   0.3416667    6.8034801096e-01    1.5889849265e-02    6.7248475879e-01
   0.3458333    6.8034656378e-01    1.6079660359e-02    6.7248588513e-01
   0.3500000    6.8034509361e-01    1.6269329505e-02    6.7248705323e-01
   0.3541667    6.8034360039e-01    1.6458855107e-02    6.7248826391e-01
   0.3583333    6.8034208408e-01    1.6648235573e-02    6.7248951797e-01
   0.3625000    6.8034054465e-01    1.6837469314e-02    6.7249081621e-01
   0.3666667    6.8033898205e-01    1.7026554745e-02    6.7249215941e-01
   0.3708333    6.8033739620e-01    1.7215490282e-02    6.7249354837e-01
   0.3750000    6.8033578702e-01    1.7404274346e-02    6.7249498388e-01
   0.3791667    6.8033415433e-01    1.7592905360e-02    6.7249646673e-01
   0.3833333    6.8033249794e-01    1.7781381748e-02    6.7249799771e-01
   0.3875000    6.8033081757e-01    1.7969701941e-02    6.7249957762e-01
   0.3916667    6.8032911287e-01    1.8157864369e-02    6.7250120727e-01
   0.3958333    6.8032738342e-01    1.8345867466e-02    6.7250288746e-01
   0.4000000    6.8032562871e-01    1.8533709669e-02    6.7250461902e-01
   0.4041667    6.8032384816e-01    1.8721389418e-02    6.7250640277e-01
   0.4083333    6.8032204112e-01    1.8908905155e-02    6.7250823957e-01
   0.4125000    6.8032020687e-01    1.9096255323e-02    6.7251013026e-01
   0.4166667    6.8031834461e-01    1.9283438371e-02    6.7251207572e-01
   0.4208333    6.8031645349e-01    1.9470452747e-02    6.7251407683e-01
   0.4250000    6.8031453263e-01    1.9657296904e-02    6.7251613450e-01
   0.4291667    6.8031258110e-01    1.9843969295e-02    6.7251824964e-01
   0.4333333    6.8031059792e-01    2.0030468379e-02    6.7252042320e-01
   0.4375000    6.8030858211e-01    2.0216792613e-02    6.7252265613e-01
   0.4416667    6.8030653268e-01    2.0402940461e-02    6.7252494941e-01
   0.4458333    6.8030444863e-01    2.0588910386e-02    6.7252730404e-01
   0.4500000    6.8030232895e-01    2.0774700854e-02    6.7252972103e-01
   0.4541667    6.8030017266e-01    2.0960310335e-02    6.7253220143e-01
   0.4583333    6.8029797879e-01    2.1145737301e-02    6.7253474629e-01
   0.4625000    6.8029574636e-01    2.1330980225e-02    6.7253735671e-01
   0.4666667    6.8029347446e-01    2.1516037583e-02    6.7254003378e-01
   0.4708333    6.8029116215e-01    2.1700907856e-02    6.7254277863e-01
   0.4750000    6.8028880855e-01    2.1885589525e-02    6.7254559242e-01
   0.4791667    6.8028641280e-01    2.2070081073e-02    6.7254847630e-01
   0.4833333    6.8028397406e-01    2.2254380989e-02    6.7255143148e-01
   0.4875000    6.8028149152e-01    2.2438487761e-02    6.7255445918e-01
   0.4916667    6.8027896439e-01    2.2622399882e-02    6.7255756062e-01
   0.4958333    6.8027639193e-01    2.2806115847e-02    6.7256073707e-01
