#       time                 chi                 phi               lapse
   0.0250000    1.0000000000e+00    1.7463965446e-03    1.0000000000e+00
   0.0500000    1.0000000000e+00    3.4912281273e-03    1.0000000000e+00
   0.0750000    1.0000000000e+00    5.2329446113e-03    1.0000000000e+00
   0.1000000    1.0000000000e+00    6.9700131762e-03    1.0000000000e+00
   0.1250000    1.0000000000e+00    8.7009196568e-03    1.0000000000e+00
   0.1500000    1.0000000000e+00    1.0424169785e-02    1.0000000000e+00
   0.1750000    1.0000000000e+00    1.2138290333e-02    1.0000000000e+00
   0.2000000    1.0000000000e+00    1.3841830173e-02    1.0000000000e+00
   0.2250000    1.0000000000e+00    1.5533361263e-02    1.0000000000e+00
   0.2500000    1.0000000000e+00    1.7211479592e-02    1.0000000000e+00
   0.2750000    1.0000000000e+00    1.8874806082e-02    1.0000000000e+00
   0.3000000    1.0000000000e+00    2.0521987466e-02    1.0000000000e+00
   0.3250000    1.0000000000e+00    2.2151697142e-02    1.0000000000e+00
   0.3500000    1.0000000000e+00    2.3762635989e-02    1.0000000000e+00
   0.3750000    1.0000000000e+00    2.5353533132e-02    1.0000000000e+00
   0.4000000    1.0000000000e+00    2.6923146647e-02    1.0000000000e+00
   0.4250000    1.0000000000e+00    2.8470264205e-02    1.0000000000e+00
   0.4500000    1.0000000000e+00    2.9993703636e-02    1.0000000000e+00
   0.4750000    1.0000000000e+00    3.1492313439e-02    1.0000000000e+00
   0.5000000    1.0000000000e+00    3.2964973236e-02    1.0000000000e+00
   0.5250000    1.0000000000e+00    3.4410594170e-02    1.0000000000e+00
   0.5500000    1.0000000000e+00    3.5828119274e-02    1.0000000000e+00
   0.5750000    1.0000000000e+00    3.7216523795e-02    1.0000000000e+00
   0.6000000    1.0000000000e+00    3.8574815477e-02    1.0000000000e+00
   0.6250000    1.0000000000e+00    3.9902034816e-02    1.0000000000e+00
   0.6500000    1.0000000000e+00    4.1197255260e-02    1.0000000000e+00
   0.6750000    1.0000000000e+00    4.2459583377e-02    1.0000000000e+00
   0.7000000    1.0000000000e+00    4.3688158976e-02    1.0000000000e+00
   0.7250000    1.0000000000e+00    4.4882155199e-02    1.0000000000e+00
   0.7500000    1.0000000000e+00    4.6040778580e-02    1.0000000000e+00
   0.7750000    1.0000000000e+00    4.7163269077e-02    1.0000000000e+00
   0.8000000    1.0000000000e+00    4.8248900093e-02    1.0000000000e+00
   0.8250000    1.0000000000e+00    4.9296978473e-02    1.0000000000e+00
   0.8500000    1.0000000000e+00    5.0306844493e-02    1.0000000000e+00
   0.8750000    1.0000000000e+00    5.1277871838e-02    1.0000000000e+00
   0.9000000    1.0000000000e+00    5.2209467566e-02    1.0000000000e+00
