#       time                 chi                 phi               lapse
   0.0250000    7.7111835142e-01    8.4652160236e-04    7.6683604843e-01
   0.0500000    7.7111732458e-01    1.6926926449e-03    7.6683600714e-01
   0.0750000    7.7111572818e-01    2.5381638823e-03    7.6683601027e-01
   0.1000000    7.7111362727e-01    3.3825887472e-03    7.6683612320e-01
   0.1250000    7.7111109106e-01    4.2256245925e-03    7.6683642562e-01
   0.1500000    7.7110818347e-01    5.0669338699e-03    7.6683701050e-01
   0.1750000    7.7110495415e-01    5.9061852348e-03    7.6683798433e-01
   0.2000000    7.7110143118e-01    6.7430545721e-03    7.6683946831e-01
   0.2250000    7.7109761678e-01    7.5772259409e-03    7.6684159984e-01
   0.2500000    7.7109348623e-01    8.4083924335e-03    7.6684453382e-01
   0.2750000    7.7108898975e-01    9.2362569485e-03    7.6684844343e-01
   0.3000000    7.7108405649e-01    1.0060532877e-02    7.6685352021e-01
   0.3250000    7.7107859955e-01    1.0880944700e-02    7.6685997337e-01
   0.3500000    7.7107252103e-01    1.1697228492e-02    7.6686802855e-01
   0.3750000    7.7106571626e-01    1.2509132338e-02    7.6687792612e-01
   0.4000000    7.7105807692e-01    1.3316416651e-02    7.6688991934e-01
   0.4250000    7.7104949288e-01    1.4118854409e-02    7.6690427244e-01
   0.4500000    7.7103985297e-01    1.4916231288e-02    7.6692125887e-01
   0.4750000    7.7102904497e-01    1.5708345724e-02    7.6694115976e-01
   0.5000000    7.7101695524e-01    1.6495008883e-02    7.6696426254e-01
   0.5250000    7.7100346806e-01    1.7276044560e-02    7.6699085984e-01
   0.5500000    7.7098846516e-01    1.8051289007e-02    7.6702124857e-01
   0.5750000    7.7097182531e-01    1.8820590695e-02    7.6705572914e-01
   0.6000000    7.7095342428e-01    1.9583810026e-02    7.6709460484e-01
   0.6250000    7.7093313492e-01    2.0340818982e-02    7.6713818134e-01
   0.6500000    7.7091082767e-01    2.1091500746e-02    7.6718676626e-01
   0.6750000    7.7088637122e-01    2.1835749271e-02    7.6724066884e-01
   0.7000000    7.7085963342e-01    2.2573468829e-02    7.6730019964e-01
   0.7250000    7.7083048231e-01    2.3304573527e-02    7.6736567025e-01
   0.7500000    7.7079878716e-01    2.4028986813e-02    7.6743739303e-01
   0.7750000    7.7076441945e-01    2.4746640965e-02    7.6751568073e-01
   0.8000000    7.7072725357e-01    2.5457476576e-02    7.6760084604e-01
   0.8250000    7.7068716742e-01    2.6161442035e-02    7.6769320110e-01
   0.8500000    7.7064404253e-01    2.6858493009e-02    7.6779305683e-01
   0.8750000    7.7059776402e-01    2.7548591940e-02    7.6790072219e-01
   0.9000000    7.7054822028e-01    2.8231707540e-02    7.6801650345e-01
   0.9250000    7.7049530253e-01    2.8907814307e-02    7.6814070335e-01
   0.9500000    7.7043890436e-01    2.9576892045e-02    7.6827362039e-01
   0.9750000    7.7037892127e-01    3.0238925412e-02    7.6841554816e-01
   1.0000000    7.7031525041e-01    3.0893903469e-02    7.6856677478e-01
   1.0250000    7.7024779040e-01    3.1541819262e-02    7.6872758258e-01
   1.0500000    7.7017644141e-01    3.2182669404e-02    7.6889824789e-01
   1.0750000    7.7010110528e-01    3.2816453693e-02    7.6907904097e-01
   1.1000000    7.7002168576e-01    3.3443174735e-02    7.6927022619e-01
   1.1250000    7.6993808885e-01    3.4062837591e-02    7.6947206215e-01
   1.1500000    7.6985022304e-01    3.4675449449e-02    7.6968480202e-01
   1.1750000    7.6975799958e-01    3.5281019302e-02    7.6990869381e-01
   1.2000000    7.6966133269e-01    3.5879557657e-02    7.7014398067e-01
   1.2250000    7.6956013971e-01    3.6471076260e-02    7.7039090104e-01
   1.2500000    7.6945434116e-01    3.7055587835e-02    7.7064968888e-01
   1.2750000    7.6934386079e-01    3.7633105848e-02    7.7092057369e-01
   1.3000000    7.6922862557e-01    3.8203644282e-02    7.7120378049e-01
   1.3250000    7.6910856554e-01    3.8767217433e-02    7.7149952975e-01
   1.3500000    7.6898361376e-01    3.9323839719e-02    7.7180803730e-01
   1.3750000    7.6885370598e-01    3.9873525505e-02    7.7212951412e-01
   1.4000000    7.6871878045e-01    4.0416288941e-02    7.7246416624e-01
   1.4250000    7.6857877757e-01    4.0952143811e-02    7.7281219456e-01
   1.4500000    7.6843363951e-01    4.1481103400e-02    7.7317379475e-01
   1.4750000    7.6828330992e-01    4.2003180363e-02    7.7354915720e-01
   1.5000000    7.6812773361e-01    4.2518386611e-02    7.7393846689e-01
