#       time                 chi                 phi               lapse
   0.0250000    1.0000000000e+00    1.1038499736e-03    1.0000000000e+00
   0.0500000    1.0000000000e+00    2.2068561463e-03    1.0000000000e+00
   0.0750000    1.0000000000e+00    3.3081793416e-03    1.0000000000e+00
   0.1000000    1.0000000000e+00    4.4069899730e-03    1.0000000000e+00
   0.1250000    1.0000000000e+00    5.5024727132e-03    1.0000000000e+00
   0.1500000    1.0000000000e+00    6.5938309020e-03    1.0000000000e+00
   0.1750000    1.0000000000e+00    7.6802906012e-03    1.0000000000e+00
   0.2000000    1.0000000000e+00    8.7611042260e-03    1.0000000000e+00
   0.2250000    1.0000000000e+00    9.8355537060e-03    1.0000000000e+00
   0.2500000    1.0000000000e+00    1.0902953155e-02    1.0000000000e+00
   0.2750000    1.0000000000e+00    1.1962651043e-02    1.0000000000e+00
   0.3000000    1.0000000000e+00    1.3014031871e-02    1.0000000000e+00
   0.3250000    1.0000000000e+00    1.4056517372e-02    1.0000000000e+00
   0.3500000    1.0000000000e+00    1.5089567248e-02    1.0000000000e+00
   0.3750000    1.0000000000e+00    1.6112679471e-02    1.0000000000e+00
   0.4000000    1.0000000000e+00    1.7125390169e-02    1.0000000000e+00
   0.4250000    1.0000000000e+00    1.8127273144e-02    1.0000000000e+00
   0.4500000    1.0000000000e+00    1.9117939045e-02    1.0000000000e+00
   0.4750000    1.0000000000e+00    2.0097034255e-02    1.0000000000e+00
   0.5000000    1.0000000000e+00    2.1064239520e-02    1.0000000000e+00
   0.5250000    1.0000000000e+00    2.2019268390e-02    1.0000000000e+00
   0.5500000    1.0000000000e+00    2.2961865492e-02    1.0000000000e+00
   0.5750000    1.0000000000e+00    2.3891804703e-02    1.0000000000e+00
   0.6000000    1.0000000000e+00    2.4808887244e-02    1.0000000000e+00
   0.6250000    1.0000000000e+00    2.5712939742e-02    1.0000000000e+00
   0.6500000    1.0000000000e+00    2.6603812280e-02    1.0000000000e+00
   0.6750000    1.0000000000e+00    2.7481376477e-02    1.0000000000e+00
   0.7000000    1.0000000000e+00    2.8345523604e-02    1.0000000000e+00
   0.7250000    1.0000000000e+00    2.9196162762e-02    1.0000000000e+00
   0.7500000    1.0000000000e+00    3.0033219139e-02    1.0000000000e+00
   0.7750000    1.0000000000e+00    3.0856632343e-02    1.0000000000e+00
   0.8000000    1.0000000000e+00    3.1666354835e-02    1.0000000000e+00
   0.8250000    1.0000000000e+00    3.2462350454e-02    1.0000000000e+00
   0.8500000    1.0000000000e+00    3.3244593033e-02    1.0000000000e+00
   0.8750000    1.0000000000e+00    3.4013065118e-02    1.0000000000e+00
   0.9000000    1.0000000000e+00    3.4767756781e-02    1.0000000000e+00
   0.9250000    1.0000000000e+00    3.5508664521e-02    1.0000000000e+00
   0.9500000    1.0000000000e+00    3.6235790259e-02    1.0000000000e+00
   0.9750000    1.0000000000e+00    3.6949140419e-02    1.0000000000e+00
   1.0000000    1.0000000000e+00    3.7648725088e-02    1.0000000000e+00
   1.0250000    1.0000000000e+00    3.8334557266e-02    1.0000000000e+00
   1.0500000    1.0000000000e+00    3.9006652178e-02    1.0000000000e+00
   1.0750000    1.0000000000e+00    3.9665026666e-02    1.0000000000e+00
   1.1000000    1.0000000000e+00    4.0309698643e-02    1.0000000000e+00
   1.1250000    1.0000000000e+00    4.0940686609e-02    1.0000000000e+00
   1.1500000    1.0000000000e+00    4.1558009226e-02    1.0000000000e+00
   1.1750000    1.0000000000e+00    4.2161684937e-02    1.0000000000e+00
   1.2000000    1.0000000000e+00    4.2751731644e-02    1.0000000000e+00
   1.2250000    1.0000000000e+00    4.3328166418e-02    1.0000000000e+00
   1.2500000    1.0000000000e+00    4.3891005262e-02    1.0000000000e+00
   1.2750000    1.0000000000e+00    4.4440262897e-02    1.0000000000e+00
   1.3000000    1.0000000000e+00    4.4975952593e-02    1.0000000000e+00
   1.3250000    1.0000000000e+00    4.5498086022e-02    1.0000000000e+00
   1.3500000    1.0000000000e+00    4.6006673142e-02    1.0000000000e+00
   1.3750000    1.0000000000e+00    4.6501722096e-02    1.0000000000e+00
   1.4000000    1.0000000000e+00    4.6983239138e-02    1.0000000000e+00
   1.4250000    1.0000000000e+00    4.7451228566e-02    1.0000000000e+00
   1.4500000    1.0000000000e+00    4.7905692671e-02    1.0000000000e+00
   1.4750000    1.0000000000e+00    4.8346631698e-02    1.0000000000e+00
   1.5000000    1.0000000000e+00    4.8774043815e-02    1.0000000000e+00
